_id,Name,Legal Name,Start Date,Street Number,Street Name,ZIP Code,Lat,Lon,Category
49,Bishop's Pizza,Bishop's Pizza Inc,10/28/1991,114,Whitaker St,15120,40.4010290,-79.8879130,Take Out
50,Bishop's Pizza,,10/8/1990,1416,Lincoln Hwy,15137,40.3744542,-79.7962111,Take Out
51,Bishop's Pizza #9,,8/13/2009,1811,Golden Mile Hwy,15239,40.4472170,-79.7144630,Take Out
52,Bishop's Pizza #10,Bishop's Pizza Inc,10/15/2010,614,Walnut Ave,15025,40.3047950,-79.8933590,Take Out
53,Blaze Pizza,Fire Pitt Pizza LLC,5/23/2016,3939,William Penn Hwy,15146,40.4381200,-79.7762200,Take Out
54,Blue Canary Coffee House,Blue Canary Cafe LLC,8/3/2015,300,Mt Lebanon Blvd,15234,40.3687360,-80.0341720,"Breakfast, Drink, Other"
55,Bob's Sub,Bob's Sub Inc,10/11/2012,215,Smithfield St,15222,40.4381480,-80.0002040,NO Dollar Menu
56,Bob's Sub,Bob's Sub Inc,8/17/2015,2015,Pittsburgh Mills Blvd,15084,40.6378150,-79.7960520,NO Dollar Menu
57,Bob's Sub,Bob's Sub Inc,7/30/2014,1713,Freeport Rd,15065,40.6237490,-79.7252480,NO Dollar Menu
58,Boonda's Hometown Pizza,,1/17/2007,5622,Homeville Rd Unit B,15122,40.3682100,-79.8724420,Take Out
59,Boston Market #146,Boston Market Corp,6/19/2000,3776,Wm Penn Hwy,15146,40.4357230,-79.7852010,NO Dollar Menu
60,Boston Market #266,Boston Market Corp,6/19/2000,98,Clairton Blvd,15236,40.3380770,-79.9789610,NO Dollar Menu
61,Boston Market #0270,Boston Market Corp,6/19/2000,5200,Baum Blvd,15224,40.4555940,-79.9415490,NO Dollar Menu
62,Boston Market #410,Boston Market Corp,6/19/2000,978,Greentree Rd,15220,40.4180720,-80.0460160,NO Dollar Menu
63,Boston Market #3206,Boston Market Corp,6/14/2002,300,Davis Blvd,15275,40.4950130,-79.9588150,NO Dollar Menu
64,Bourbon St Cafe,Golden Dove Inc,5/5/1997,200,Monroeville Mall,15146,40.4291830,-79.7954590,"Breakfast, Drink, Other"
65,Brighton Hot Dog Shoppe,HDS Of Moon Inc,10/23/1995,5990,University Blvd #11,15108,40.5212670,-80.2197770,NO Dollar Menu
66,Brighton Hot Dog Shoppe,Tr Kurtz LLC,9/19/2007,2401,Noblestown Rd,15205,40.4268560,-80.0572690,NO Dollar Menu
67,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,1/16/1996,1134,Thorn Run Ext,15108,40.5052490,-80.2085260,"Breakfast, Drink, Other"
68,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,10/11/1994,422,Beaver St,15143,40.5406080,-80.1811780,"Breakfast, Drink, Other"
69,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,11/19/1993,1644,Cochran Rd,15220,40.3925120,-80.0615810,"Breakfast, Drink, Other"
70,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,12/18/1995,5213,Library Rd,15102,40.3341400,-80.0240690,"Breakfast, Drink, Other"
71,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,11/24/1993,4885,McKnight Rd,15237,40.5296160,-80.0100250,"Breakfast, Drink, Other"
72,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,4/18/1995,25,Market Pl,15222,40.4411410,-80.0030930,"Breakfast, Drink, Other"
73,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,12/28/1994,429,4th Ave,15219,40.4385160,-79.9983550,"Breakfast, Drink, Other"
74,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,8/3/1995,411,7th Ave,15219,40.4428900,-79.9962840,"Breakfast, Drink, Other"
75,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,2/25/1998,1801,E Carson St,15203,40.4289340,-79.9803000,"Breakfast, Drink, Other"
76,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,2/19/1998,5217,Clairton Blvd,15236,40.3441960,-79.9709640,"Breakfast, Drink, Other"
77,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,11/15/1992,3714,Forbes Ave,15213,40.4412760,-79.9569530,"Breakfast, Drink, Other"
78,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,1/21/1997,806,S Aiken St,15232,40.4507250,-79.9357240,"Breakfast, Drink, Other"
79,Bruegger's Bagel Bakery,Bruegger's Enterprises Inc,1/18/1993,1719,Murray Ave,15217,40.4374420,-79.9228100,"Breakfast, Drink, Other"
80,Bruegger's Bagel Bakery #064,Bruegger's Enterprises LLC,6/7/1993,1720,Washington Rd,15241,40.3481440,-80.0538250,"Breakfast, Drink, Other"
81,Bruegger's Bagel Bakery #102,Bruegger's Enterprises Inc,6/20/1994,531,Grant St,15219,40.4406360,-79.9966300,"Breakfast, Drink, Other"
82,Bruster's,Creamery Mgt Inc,7/24/2001,9600,Perry Hwy,15237,40.5814510,-80.0370140,"Breakfast, Drink, Other"
83,Bruster's #034,Swirl of Pittsburgh LLC,2/12/2016,493,Lowries Run Rd,15237,40.5337440,-80.0497690,"Breakfast, Drink, Other"
84,Bruster's Ice Cream,Gillner Enterprises LLC,6/26/2002,4937,Wm Flynn Hwy,15044,40.6041200,-79.9471960,"Breakfast, Drink, Other"
