stname,tractfips,"estimated smoking prevalence, 2006-2010"
Pennsylvania,42003402000,0.271090166
Pennsylvania,42003403500,0.299342103
Pennsylvania,42003404000,0.258106557
Pennsylvania,42003405000,0.247101031
Pennsylvania,42003406000,0.256392328
Pennsylvania,42003407001,0.271970052
Pennsylvania,42003407002,0.236319123
Pennsylvania,42003408001,0.206270179
Pennsylvania,42003408002,0.224257698
Pennsylvania,42003409000,0.180324045
Pennsylvania,42003410000,0.141012333
Pennsylvania,42003411000,0.168273753
Pennsylvania,42003412001,0.167907953
Pennsylvania,42003412002,0.153560989
Pennsylvania,42003413100,0.178342467
Pennsylvania,42003413201,0.186486036
Pennsylvania,42003413202,0.170115873
Pennsylvania,42003413300,0.186754816
Pennsylvania,42003413400,0.14955149
Pennsylvania,42003413500,0.193242957
Pennsylvania,42003414101,0.211059331
Pennsylvania,42003414102,0.20750624
Pennsylvania,42003414200,0.187251612
Pennsylvania,42003415001,0.22331211
Pennsylvania,42003415002,0.182760863
Pennsylvania,42003416000,0.264184054
Pennsylvania,42003417100,0.264050622
Pennsylvania,42003417200,0.282508045
Pennsylvania,42003418000,0.226290491
Pennsylvania,42003419000,0.239901723
Pennsylvania,42003420000,0.225046206
Pennsylvania,42003421100,0.13515976
Pennsylvania,42003421200,0.17747853
Pennsylvania,42003422000,0.089427579
Pennsylvania,42003423000,0.174762429
Pennsylvania,42003424000,0.273839639
Pennsylvania,42003425000,0.265904075
Pennsylvania,42003426300,0.214736009
Pennsylvania,42003426400,0.227903374
Pennsylvania,42003426700,0.226548784
Pennsylvania,42003426800,0.226566874
Pennsylvania,42003427000,0.311775585
Pennsylvania,42003427100,0.229322459
Pennsylvania,42003427200,0.261531563
Pennsylvania,42003428100,0.267190122
Pennsylvania,42003428200,0.267208665
Pennsylvania,42003429100,0.225364715
Pennsylvania,42003429201,0.186890345
Pennsylvania,42003429202,0.18880445
Pennsylvania,42003429300,0.199883627
Pennsylvania,42003429400,0.20905474
Pennsylvania,42003429500,0.205268931
Pennsylvania,42003429600,0.237953336
Pennsylvania,42003429700,0.245765327
Pennsylvania,42003430100,0.257878357
Pennsylvania,42003430200,0.240403511
Pennsylvania,42003431100,0.269356957
Pennsylvania,42003431400,0.267004333
Pennsylvania,42003431500,0.261854627
Pennsylvania,42003432300,0.252047717
Pennsylvania,42003432400,0.264196518
Pennsylvania,42003433000,0.119885636
Pennsylvania,42003434000,0.180904227
Pennsylvania,42003435000,0.245824988
Pennsylvania,42003436000,0.190780536
Pennsylvania,42003437000,0.206790502
Pennsylvania,42003438000,0.198881988
Pennsylvania,42003439000,0.19790931
Pennsylvania,42003440000,0.139501387
Pennsylvania,42003441000,0.169205016
Pennsylvania,42003442000,0.275628341
Pennsylvania,42003443000,0.227713858
Pennsylvania,42003444000,0.15512538
Pennsylvania,42003445500,0.202320253
Pennsylvania,42003446000,0.11698849
Pennsylvania,42003447000,0.222821395
Pennsylvania,42003448000,0.249066039
Pennsylvania,42003449000,0.271501337
Pennsylvania,42003450700,0.2601911
Pennsylvania,42003450800,0.256535867
Pennsylvania,42003451101,0.210643026
Pennsylvania,42003451102,0.248057322
Pennsylvania,42003451103,0.238444436
Pennsylvania,42003451300,0.185169206
Pennsylvania,42003452000,0.278820705
Pennsylvania,42003453001,0.241750588
Pennsylvania,42003453002,0.288711499
Pennsylvania,42003454000,0.216894928
Pennsylvania,42003455000,0.28564959
Pennsylvania,42003456001,0.238275324
Pennsylvania,42003456003,0.233778117
Pennsylvania,42003456004,0.226656133
Pennsylvania,42003457100,0.257112953
Pennsylvania,42003457200,0.239755969
Pennsylvania,42003458000,0.230191406
Pennsylvania,42003459101,0.245309603
Pennsylvania,42003459102,0.22512038
Pennsylvania,42003459201,0.223364221
Pennsylvania,42003459202,0.219669886
Pennsylvania,42003460001,0.221959715
Pennsylvania,42003460002,0.259895751
Pennsylvania,42003461000,0.260943871
Pennsylvania,42003462100,0.260202367
Pennsylvania,42003462600,0.280702852
Pennsylvania,42003463900,0.282506421
Pennsylvania,42003464300,0.272831039
Pennsylvania,42003464400,0.300008455
Pennsylvania,42003465600,0.258527907
Pennsylvania,42003465800,0.242690175
Pennsylvania,42003466000,0.134988808
Pennsylvania,42003467000,0.127078077
Pennsylvania,42003468700,0.27796865
Pennsylvania,42003468800,0.278071976
Pennsylvania,42003468900,0.260892012
Pennsylvania,42003469000,0.204325441
Pennsylvania,42003470300,0.200942457
Pennsylvania,42003470400,0.207980063
Pennsylvania,42003470500,0.18303339
Pennsylvania,42003470600,0.257663603
Pennsylvania,42003471000,0.259473197
Pennsylvania,42003472100,0.265732139
Pennsylvania,42003472200,0.229421676
Pennsylvania,42003472300,0.268660259
Pennsylvania,42003472400,0.235642022
Pennsylvania,42003473100,0.15702742
Pennsylvania,42003473200,0.147916188
Pennsylvania,42003473300,0.157489957
Pennsylvania,42003473401,0.155963586
Pennsylvania,42003473402,0.1443913
Pennsylvania,42003473500,0.121899421
Pennsylvania,42003473601,0.11790448
Pennsylvania,42003473602,0.128862021
Pennsylvania,42003474101,0.159347071
Pennsylvania,42003474102,0.110651908
Pennsylvania,42003474201,0.131785285
Pennsylvania,42003474202,0.102584007
Pennsylvania,42003474203,0.144585335
Pennsylvania,42003475101,0.191932852
Pennsylvania,42003475102,0.197404542
Pennsylvania,42003475200,0.187361198
Pennsylvania,42003475301,0.218912941
Pennsylvania,42003475303,0.194977253
Pennsylvania,42003475304,0.208100545
Pennsylvania,42003475401,0.216695527
Pennsylvania,42003475402,0.193601945
Pennsylvania,42003476100,0.245113171
Pennsylvania,42003476200,0.245957777
Pennsylvania,42003477100,0.197085303
Pennsylvania,42003477200,0.204885748
Pennsylvania,42003477300,0.237059738
Pennsylvania,42003478100,0.244057981
Pennsylvania,42003478200,0.251968473
Pennsylvania,42003479000,0.243450356
Pennsylvania,42003480101,0.255520973
Pennsylvania,42003480102,0.234901829
Pennsylvania,42003480200,0.254662789
Pennsylvania,42003480300,0.239950071
Pennsylvania,42003480400,0.263642455
Pennsylvania,42003481000,0.317985167
Pennsylvania,42003482500,0.250475131
Pennsylvania,42003483800,0.215569038
Pennsylvania,42003484300,0.273097493
Pennsylvania,42003484500,0.251813506
Pennsylvania,42003484600,0.25908634
Pennsylvania,42003485000,0.288348329
Pennsylvania,42003486700,0.270483391
Pennsylvania,42003486800,0.236259542
Pennsylvania,42003486900,0.225730123
Pennsylvania,42003487000,0.285472449
Pennsylvania,42003488100,0.246596827
Pennsylvania,42003488200,0.269724009
Pennsylvania,42003488300,0.23976469
Pennsylvania,42003488400,0.264023896
Pennsylvania,42003488500,0.267057834
Pennsylvania,42003488600,0.263766782
Pennsylvania,42003489001,0.1961212
Pennsylvania,42003489002,0.188353695
Pennsylvania,42003490002,0.26778016
Pennsylvania,42003490003,0.255994522
Pennsylvania,42003490004,0.296016123
Pennsylvania,42003491101,0.217099805
Pennsylvania,42003491102,0.247297427
Pennsylvania,42003491200,0.254904206
Pennsylvania,42003492700,0.264468733
Pennsylvania,42003492800,0.212340874
Pennsylvania,42003492900,0.261468993
